Company name,Company domain name,Website URL,City,State/Region,Country/Region,Industry,Lifecycle Stage,Lead Status,Company Type,Investor Type,Target Round,Stage Fit,Check Size Public,Geography Fit,Thesis Fit,Relevance Score,Priority Tier,Primary Contact Target,Likely Objection,Best Angle,Contact Path,Next Step,Source URL,Research Notes,Outreach Draft
Heavybit,heavybit.com,https://www.heavybit.com/,San Francisco,CA,United States,Venture Capital,Lead,New,Investor Target,Enterprise infrastructure / developer tools investor,Pre-seed to Series A,"Enterprise infrastructure, developer-first, technical founders",Not listed on official source,National,Fit depends on whether Mimir/Jormungandr is packaged as infrastructure/developer platform rather than ERP application.,78,Tier 3,Partner focused on infrastructure,ERP app narrative may not fit developer-tool expectations.,Jormungandr/Mímisbrunnr can be positioned as semantic contract infrastructure for enterprise integration and agent runtime safety.,Warm intro through devtools/infrastructure founders; content-led direct outreach.,Hold until Jormungandr prototype or API-first story is stronger.,https://www.heavybit.com/faq,Official FAQ calls Heavybit an early-stage enterprise infrastructure investor for pre-seed to Series A startups.,"Partner focused on infrastructure — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Jormungandr/Mímisbrunnr can be positioned as semantic contract infrastructure for enterprise integration and agent runtime safety. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Boldstart Ventures,boldstart.vc,https://boldstart.vc/,New York,NY,United States,Venture Capital,Lead,New,Investor Target,Enterprise infrastructure / autonomous enterprise VC,Pre-seed / seed,Technical founders building AI-native infrastructure/security/apps,Not listed on official source,National / NYC,"Good if the pitch is 'agent-era trust infrastructure,' not generic ERP.",82,Tier 2,Partner focused on autonomous enterprise / AI infrastructure,May expect a sharper autonomous-enterprise product wedge and larger technical team.,Yggdrasil ERP proves the substrate; the investable surface is semantic trust/control infrastructure for agentic enterprise systems.,Warm intro; direct only with crisp infrastructure memo.,Second-wave target after Jormungandr scope is demonstrable.,https://boldstart.vc/companies/?company_theme=developer-first,"Source says Boldstart backs technical founders building autonomous enterprise, AI-native infrastructure, security, apps, and models.","Partner focused on autonomous enterprise / AI infrastructure — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Yggdrasil ERP proves the substrate; the investable surface is semantic trust/control infrastructure for agentic enterprise systems. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Unusual Ventures,unusual.vc,https://www.unusual.vc/,Menlo Park,CA,United States,Venture Capital,Lead,New,Investor Target,Technical enterprise seed VC,Seed / enterprise PMF,Technical enterprise founders,Not listed on official source,National,"Strong enterprise-founder coaching fit, but likely needs clearer PMF milestone and customer discovery motion.",78,Tier 3,Enterprise software partner / Academy,May require stronger product-market fit evidence and broader team.,Mimir’s founder-market insight comes from 15 years inside manufacturing/quality/supply-chain failure modes and direct build of governed ERP substrate.,Unusual Academy or founder intro.,Consider for enterprise founder coaching more than immediate check.,https://www.unusual.vc/,Official site positions Unusual as product-market-fit partner for technical enterprise founders.,"Enterprise software partner / Academy — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir’s founder-market insight comes from 15 years inside manufacturing/quality/supply-chain failure modes and direct build of governed ERP substrate. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Eniac Ventures,eniac.vc,https://www.eniac.vc/,New York,NY,United States,Venture Capital,Lead,New,Investor Target,Seed VC,Seed,0-to-1 founders; broad seed,Not listed on official source,National / NYC,"Moderate; evidence of data/integration interest helps, but broad seed investors need a venture-scale narrative.",75,Tier 3,Enterprise/data partner,May ask why now and why this founder can win against incumbents.,The why-now is AI/compliance pressure exposing that downstream semantic layers cannot fix operational truth.,Warm intro from NYC founder/investor network.,Lower priority unless a warm intro appears.,https://www.eniac.vc/,Official site says Eniac leads seed rounds and partners with founders from 0 to 1.,"Enterprise/data partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. The why-now is AI/compliance pressure exposing that downstream semantic layers cannot fix operational truth. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Bonfire Ventures,bonfirevc.com,https://www.bonfirevc.com/,Los Angeles,CA,United States,Venture Capital,Lead,New,Investor Target,B2B software seed VC,Seed,B2B software with recurring-revenue potential,Not listed on official source,National,Strong B2B software fit if Mimir has clear ARR/pilot path; likely not first check without proof.,77,Tier 3,B2B software partner,May require evidence that this can graduate from diagnostic/service wedge to software revenue.,Mimir’s diagnostic wedge generates proprietary canonical manifests and the enforcement roadmap for recurring SaaS.,Warm intro from B2B software founder; direct if traction exists.,Approach only after first paid pilots or credible signed design partners.,https://www.bonfirevc.com/,Official site says Bonfire leads seed rounds for B2B software startups and is 100% B2B.,"B2B software partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir’s diagnostic wedge generates proprietary canonical manifests and the enforcement roadmap for recurring SaaS. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Harpoon Ventures,harpoon.vc,https://www.harpoon.vc/,San Diego,CA,United States,Venture Capital,Lead,New,Investor Target,Dual-use / defense / AI / cybersecurity VC,Pre-seed / seed / Series A,"National security, AI, cybersecurity, infrastructure",Not listed on official source,United States,"Potential fit if Mimir leans into CMMC, defense manufacturing, secure data exchange, and agent control.",76,Tier 3,Partner focused on AI/cybersecurity/infrastructure,May need defense procurement relevance or dual-use buyer pathway.,"Mimir protects defense-supplier operational data integrity before compliance reporting, AI automation, and integration touch it.",Warm intro from defense-tech/CMMC network.,Use only with CMMC/defense-supplier packet.,https://www.harpoon.vc/portfolio,"Official portfolio page says Harpoon backs AI, cybersecurity, infrastructure, deep tech, manufacturing/robotics, and software infrastructure.","Partner focused on AI/cybersecurity/infrastructure — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir protects defense-supplier operational data integrity before compliance reporting, AI automation, and integration touch it. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Everywhere Ventures,everywhere.vc,https://www.everywhere.vc/,New York,NY,United States,Venture Capital,Lead,New,Investor Target,Global pre-seed fund / founder network,Pre-seed,Very early-stage founders,Not listed on official source,Global / national,Good for solo founder and early check possibility; less domain-specialized than ideal.,73,Tier 3,Investment team / founder community,May not have deep ERP/manufacturing category expertise.,Mimir is a non-obvious founder-led infrastructure company with a narrow diagnostic revenue wedge and a large enterprise substrate thesis.,Direct application/cold pitch; founder network intro.,Use as breadth target after top 15.,https://www.everywhere.vc/,"Official site describes Everywhere as a global pre-seed fund for founders, by founders.","Investment team / founder community — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir is a non-obvious founder-led infrastructure company with a narrow diagnostic revenue wedge and a large enterprise substrate thesis. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Antler US,antler.co,https://www.antler.co/location/us,United States,,United States,Venture Capital / Founder Residency,Lead,New,Investor Target,Global early-stage VC / founder residency,Day-zero / pre-seed,Founders from day zero; residency model,Program-specific,National,Useful only if Mimir needs structured founder program/network; may not fit because product already exists and founder does not need ideation residency.,65,Tier 3,US residency / investment team,Residency/co-founder model may be misaligned with existing founder-led company.,Mimir already has built product; ask whether Antler can help with capital/customer intro without forcing company restart.,Program application or direct investor contact.,Low priority; consider only if cash need makes accelerator terms acceptable.,https://www.antler.co/location/us,Official site says Antler is a global early-stage VC investing in founders from day zero.,"US residency / investment team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir already has built product; ask whether Antler can help with capital/customer intro without forcing company restart. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Plug and Play Supply Chain & Logistics,plugandplaytechcenter.com,https://www.plugandplaytechcenter.com/industries/supply-chain/startups,Sunnyvale,CA,United States,Corporate Innovation / Venture Capital,Lead,New,Investor Target,Corporate accelerator / venture platform,Program / corporate partner pathway,Supply-chain/logistics startups; varies,Program/fund-specific,Global / national,Could be valuable for corporate manufacturing/supply-chain pilots more than direct angel funding.,74,Tier 3,Supply Chain & Logistics program team,May require clearer supply-chain/logistics product packaging.,Mimir can prevent broken ERP/integration semantics from corrupting supply-chain visibility and supplier/compliance workflows.,Program application; use corporate-partner angle.,Consider after Ratatosk pilot deck is built.,https://www.plugandplaytechcenter.com/venture-capital,Official page says Plug and Play has programs across Seed to Series C and 550+ partners.,"Supply Chain & Logistics program team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir can prevent broken ERP/integration semantics from corrupting supply-chain visibility and supplier/compliance workflows. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Techstars,techstars.com,https://www.techstars.com/,Boulder,CO,United States,Accelerator / Venture Capital,Lead,New,Investor Target,Pre-seed accelerator / global network,Accelerator / pre-seed,Early-stage startups,Program-specific,Global / national,"Good network, but terms and program fit need scrutiny. Industries of the Future framing could fit industrial AI/manufacturing.",68,Tier 3,Relevant accelerator managing director,Accelerator model may consume time and dilution; not specific enough to ERP/data infrastructure.,Mimir is industrial AI-enablement infrastructure: deterministic data clarity before autonomous business systems act.,Apply to relevant industrial/AI accelerator only if timing and terms work.,Low priority unless a targeted Techstars program is open.,https://www.techstars.com/,Official site says Techstars invests in early-stage startups through mentorship-driven accelerator programs.,"Relevant accelerator managing director — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir is industrial AI-enablement infrastructure: deterministic data clarity before autonomous business systems act. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
NEA,nea.com,https://www.nea.com/,Timonium,MD,United States,Venture Capital,Lead,New,Investor Target,Large multi-stage VC,Seed through IPO,High-ambition technology and healthcare companies,Stage-dependent,"Strong Mid-Atlantic office, but national/global",Not a first-touch target unless a specific partner is thesis-aligned or BFTP produces a warm intro.,62,Tier 3,Seed/enterprise technology partner,"Likely too early without traction, team depth, and venture-scale pull.",Only pitch via warm intro after pilots show a large canonical data-control category emerging.,Warm intro only.,Keep as long-term target.,https://www.nea.com/,Official site says NEA partners with founders at every stage from idea to IPO.,"Seed/enterprise technology partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Only pitch via warm intro after pilots show a large canonical data-control category emerging. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Blue Bear Capital,bluebearcap.com,https://bluebearcap.com/,San Francisco,CA,United States,Venture Capital / Growth Equity,Lead,New,Investor Target,AI-powered energy/infrastructure/climate investor,Venture / early growth,"Energy, infrastructure, and climate operations",Not listed on official source,National,Peripheral unless Mimir targets infrastructure/energy manufacturing or industrial AI data integrity.,61,Tier 3,Industrial AI / infrastructure investor,Too far from energy/infrastructure/climate focus unless verticalized.,Mimir can provide data integrity and semantic governance for industrial infrastructure operations.,Only through relevant vertical intro.,Park unless vertical market shifts toward energy/infrastructure.,https://bluebearcap.com/,"Official site says Blue Bear focuses on AI-powered solutions for energy, infrastructure, and climate challenges.","Industrial AI / infrastructure investor — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir can provide data integrity and semantic governance for industrial infrastructure operations. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
